Date,Time,Open,High,Low,Close,TotalVolume
2017-11-01,09:30:00,352.0,352.0,352.0,352.0,398400
2017-11-01,09:31:00,351.8,352.6,351.6,352.0,265100
2017-11-01,09:32:00,352.2,352.8,352.2,352.4,104500
2017-11-01,09:33:00,352.6,352.8,352.4,352.8,119600
2017-11-01,09:34:00,352.8,353.0,352.6,353.0,105300
2017-11-01,09:35:00,352.8,353.0,352.8,352.8,30200
2017-11-01,09:36:00,352.8,353.0,352.8,352.8,57200
2017-11-01,09:37:00,352.8,353.0,352.8,353.0,28700
2017-11-01,09:38:00,353.0,353.0,352.4,352.6,81600
2017-11-01,09:39:00,352.8,352.8,352.2,352.2,50300
2017-11-01,09:40:00,352.2,352.2,351.8,352.0,66400
2017-11-01,09:41:00,352.2,352.2,351.8,351.8,30100
2017-11-01,09:42:00,351.8,352.6,351.6,352.4,110700
2017-11-01,09:43:00,352.4,352.6,352.4,352.6,77300
2017-11-01,09:44:00,352.4,352.6,352.0,352.4,48000
2017-11-01,09:45:00,352.4,352.4,352.2,352.4,23400
2017-11-01,09:46:00,352.4,352.4,351.8,352.4,56500
2017-11-01,09:47:00,352.2,352.4,352.2,352.4,19100
2017-11-01,09:48:00,352.4,352.6,352.2,352.4,11200
2017-11-01,09:49:00,352.4,352.4,352.2,352.4,11500
2017-11-01,09:50:00,352.4,352.4,352.0,352.2,15900
2017-11-01,09:51:00,352.2,352.4,352.2,352.4,43000
2017-11-01,09:52:00,352.4,352.6,352.4,352.6,36300
2017-11-01,09:53:00,352.6,352.8,352.4,352.6,42800
2017-11-01,09:54:00,352.6,352.8,352.4,352.4,54700
2017-11-01,09:55:00,352.4,352.6,352.2,352.2,26900
2017-11-01,09:56:00,352.2,352.6,352.2,352.4,12900
2017-11-01,09:57:00,352.4,352.6,352.4,352.4,15700
2017-11-01,09:58:00,352.4,353.0,352.4,353.0,127200
2017-11-01,09:59:00,353.0,353.6,352.8,353.2,257600
2017-11-01,10:00:00,353.2,353.6,353.2,353.2,50200
